WHITE
UNDEFINED,,0,0
UNDEFINED,,0,1
UNDEFINED,,0,2
UNDEFINED,,0,3
BLACK,King,0,4,true
UNDEFINED,,0,5
UNDEFINED,,0,6
UNDEFINED,,0,7
UNDEFINED,,1,0
UNDEFINED,,1,1
UNDEFINED,,1,2
UNDEFINED,,1,3
UNDEFINED,,1,4
UNDEFINED,,1,5
UNDEFINED,,1,6
UNDEFINED,,1,7
UNDEFINED,,2,0
UNDEFINED,,2,1
UNDEFINED,,2,2
UNDEFINED,,2,3
UNDEFINED,,2,4
UNDEFINED,,2,5
UNDEFINED,,2,6
UNDEFINED,,2,7
UNDEFINED,,3,0
UNDEFINED,,3,1
UNDEFINED,,3,2
UNDEFINED,,3,3
UNDEFINED,,3,4
UNDEFINED,,3,5
UNDEFINED,,3,6
UNDEFINED,,3,7
UNDEFINED,,4,0
UNDEFINED,,4,1
UNDEFINED,,4,2
UNDEFINED,,4,3
UNDEFINED,,4,4
UNDEFINED,,4,5
UNDEFINED,,4,6
UNDEFINED,,4,7
UNDEFINED,,5,0
UNDEFINED,,5,1
UNDEFINED,,5,2
UNDEFINED,,5,3
UNDEFINED,,5,4
UNDEFINED,,5,5
UNDEFINED,,5,6
UNDEFINED,,5,7
UNDEFINED,,6,0
UNDEFINED,,6,1
UNDEFINED,,6,2
UNDEFINED,,6,3
UNDEFINED,,6,4
UNDEFINED,,6,5
UNDEFINED,,6,6
UNDEFINED,,6,7
UNDEFINED,,7,0
UNDEFINED,,7,1
UNDEFINED,,7,2
UNDEFINED,,7,3
WHITE,King,7,4,true
UNDEFINED,,7,5
UNDEFINED,,7,6
UNDEFINED,,7,7
